English Word	English Lemma	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
Date	date	It's a date.	We're not on a date.	Bu bir randevu.	Biz çıkmıyoruz.
Daughter	daughter	I have a daughter.	Mary is my daughter.	Benim bir kızım var.	Mary benim kızımdır.
Dawn	dawn	Dawn is coming.	Tom woke up at dawn.	Şafak vakti geliyor.	Tom şafakta uyandı.
Dawn	dawn	Dawn is coming.	Tom woke up at dawn.	Şafak vakti geliyor.	Tom şafakta uyandı.
Day	day	Good day!	This is a great day.	İyi günler.	Bu mükemmel bir gün.
Day	day	Good day!	This is a great day.	İyi günler.	Bu mükemmel bir gün.
Day	day	Good day!	This is a great day.	İyi günler.	Bu mükemmel bir gün.
Daylight	daylight				
De-industrialization	de				
Deadline	deadline	I have a deadline.	We have a deadline.	Bir son teslim tarihim var.	Bizim bir son teslim tarihimiz var.
Deaf	deaf	I'm deaf.	I think Tom is deaf.	Ben sağırım.	Tom sağır galiba.
Dealer	dealer	He is a fish dealer.	He is a fish dealer.	O, bir balık satıcısı.	O, bir balık satıcısı.
Dealer	dealer	He is a fish dealer.	He is a fish dealer.	O, bir balık satıcısı.	O, bir balık satıcısı.
Death	death	I am Death.	I'm ready for death.	Ben ölümüm.	Ölmek için hazırım.
Debit	debit				
Debt	debt	I'm in debt.	Tom is deep in debt.	Borç içindeyim.	Tom borç batağında.
Decade	decade				
Decade	decade				
Deceive	deceive	Looks deceive.	Tom deceived us all.	Görünüşler aldatır.	Tom hepimizi yanılttı.
December	December				
Decision	decision	Make a decision.	It's their decision.	Bir karar ver.	Bu onların kararı.
Decontamination	decontamination				
Decrease	decrease				
Decrease	decrease				
Deep	deep	How deep?	Tom is deep in debt.	Ne kadar derin?	Tom borç batağında.
Deep	deep	How deep?	Tom is deep in debt.	Ne kadar derin?	Tom borç batağında.
Deer	deer	Is it a deer?	I cooked deer meat.	O bir geyik mi?	Ben geyik eti pişirdim.
Defeaning	defeaning				
Defeat	defeat	Defeat him.	Tom looked defeated.	Onu yen.	Tom mağlup görünüyordu.
Defend	defend	Who defends him?	Tom would defend me.	Kim savunuyor onu?	Tom beni savunacak.
Defender	Defender				
Deficiency	deficiency				
Definitely	definitely	Definitely!	Tom definitely lied.	Kesinlikle!	Tom kesinlikle yalan söyledi.
Definition	definition				
Deforestation	deforestation				
Degree	degree				
Deity	deity				
Delay	delay	What a delay!	Sorry for the delay.	Ne gecikme!	Gecikme için özür dilerim.
Delete	delete	I deleted one.	Delete this comment.	Ben bir tane sildim.	Bu yorumu silin.
Delicious	Delicious	Delicious.	It's very delicious!	Leziz.	Çok lezzetliymiş!
Delinquency	delinquency				
Delivery	delivery				
Delivery	delivery				
Democracy	democracy	Free democracy now!	Free democracy now!	Şimdi özgür demokrasi.	Şimdi özgür demokrasi.
Demon	demon	I'm a demon.	The demon is dead.	Ben bir şeytanım.	Şeytan öldü.
Demonstartor	demonstartor				
Demonstration	demonstration				
Demonstration	demonstration				
Demonstration	demonstration				
Density	density				
Density	density				
Dented	dent	The dent is huge.	Tom dented his car.	Göçük büyük.	Tom arabasını bereledi.
Dentist	Dentist	I'm a dentist.	I'm Tom's dentist.	Ben bir dişçiyim.	Ben Tom'un diş hekimiyim.
Departure	departure				
Deposit	deposit				
Deposit	deposit				
Depression	depression				
Depth	depth				
Deputy	deputy	I'm your deputy.	I'm your deputy.	Ben sizin vekilinizim.	Ben sizin vekilinizim.
Descend	descend				
Describe	describe	Describe Tom.	Can you describe it?	Tom'u tanımla.	Onu tarif edebilir misin?
Description	description				
Desert	desert	It's deserted.	I hate the desert.	O terk edilmiş.	Çölden nefret ederim.
Desert	desert	It's deserted.	I hate the desert.	O terk edilmiş.	Çölden nefret ederim.
Deserter	deserter	They were deserters.	They were deserters.	Onlar asker kaçağıydı.	Onlar asker kaçağıydı.
Desertification	desertification				
Desertion	desertion				
Design	design	I designed it.	Did you design this?	Onu ben tasarladım.	Bunu mu tasarladın?
Desire	desire	I lost the desire.	What do you desire?	Ben arzuyu kaybettim.	Ne arzu ediyorsun?
Desire	desire	I lost the desire.	What do you desire?	Ben arzuyu kaybettim.	Ne arzu ediyorsun?
Desire	desire	I lost the desire.	What do you desire?	Ben arzuyu kaybettim.	Ne arzu ediyorsun?
Desk	desk	This is a desk.	Tom ate at his desk.	Bu bir masa.	Tom masasında yedi.
Desperate	desperate	I'm desperate.	Layla was desperate.	Ben çaresizim.	Leyla çaresizdi.
Desperate	desperate	I'm desperate.	Layla was desperate.	Ben çaresizim.	Leyla çaresizdi.
Despite	despite				
Despite	despite				
Dessert	dessert	I love dessert.	Did Tom eat dessert?	Tatlıyı severim.	Tom tatlı yedi mi?
Destination	destination				
Destiny	destiny	It was destiny.	This is our destiny.	Kaderdi.	Kaderimiz bu.
Destruction	destruction				
Detail	detail	I want details.	I want more details.	Ayrıntıları istiyorum.	Ben daha fazla ayrıntı istiyorum.
Detail	detail	I want details.	I want more details.	Ayrıntıları istiyorum.	Ben daha fazla ayrıntı istiyorum.
Detective	detective	I'm a detective.	Are you a detective?	Ben bir dedektifim.	Siz bir dedektif misiniz?
Detective	detective	I'm a detective.	Are you a detective?	Ben bir dedektifim.	Siz bir dedektif misiniz?
Determination	determination				
Determined	determine	Tom is determined.	You look determined.	Tom kararlı.	Kararlı görünüyorsun.
Determined	determine	Tom is determined.	You look determined.	Tom kararlı.	Kararlı görünüyorsun.
Devil	devil	Devil!	The Devil sued God.	Şeytan!	Şeytan Tanrı'ya dava açtı.
Dew	dew				
Diabetes	diabetes	Tom has diabetes.	Tom has diabetes.	Tom'un şeker hastalığı var.	Tom'un şeker hastalığı var.
Diagram	Diagram				
Dialect	dialect				
Diamond	diamond				
Diarrhea	diarrhea	I have diarrhea.	I've got diarrhea.	İshal oldum.	İshalim var.
Dice	dice	Roll the dice.	Tom rolled the dice.	Zarı yuvarla.	Tom zarı yuvarladı.
Dictation	dictation				
Dictator	dictator	He's a dictator.	I'm not a dictator.	O bir diktatördür.	Ben bir diktatör değilim.
Dictatorship	dictatorship				
Diesel	diesel				
Diet	diet	I'm dieting.	I'm on a juice diet.	Ben diyet yapıyorum.	Meyve suyu diyetindeyim.
Diet	diet	I'm dieting.	I'm on a juice diet.	Ben diyet yapıyorum.	Meyve suyu diyetindeyim.
Difference	difference				
Different	different	I'm different.	It was so different.	Ben farklıyım.	Bu çok farklıydı.
Difficulty	difficulty				
Digital	Digital				
Dilapidated	dilapidate				
Dilution	dilution				
Dimension	dimension				
Dinner	dinner	Dinner!	We're having dinner.	Akşam yemeği!	Biz akşam yemeği yiyoruz.
Dinosaur	dinosaur				
Diplomacy	diplomacy				
Diplomat	diplomat	Tom is a diplomat.	Tom was a diplomat.	Tom bir diplomat.	Tom bir diplomattı.
Director	director	I became a director.	I became a director.	Ben bir yönetmen oldum.	Ben bir yönetmen oldum.
Director	director	I became a director.	I became a director.	Ben bir yönetmen oldum.	Ben bir yönetmen oldum.
Dirty	dirty	Is it dirty?	Is that table dirty?	Kirli mi?	O masa kirli mi?
Disabled	disabled				
Disadvantage	disadvantage				
Disadvantageous	disadvantageous				
Disappearance	disappearance				
Disappointment	disappointment				
Discipline	discipline	Tom is disciplined.	He needs discipline.	Tom disiplinli biri.	Onun disipline ihtiyacı var.
Disciplined	discipline	Tom is disciplined.	He needs discipline.	Tom disiplinli biri.	Onun disipline ihtiyacı var.
Discount	discount	I want a discount.	I want a discount.	İndirim istiyorum.	İndirim istiyorum.
Discount	discount	I want a discount.	I want a discount.	İndirim istiyorum.	İndirim istiyorum.
Discourage	discourage	I'm discouraged.	Tom was discouraged.	Cesaretim kırıldı.	Tom bezgindi.
Discover	discover	I discovered one.	I discovered one.	Ben bir tane keşfettim.	Ben bir tane keşfettim.
Discovery	discovery				
Disgust	disgust	You disgust me.	Tom left in disgust.	Benden iğreniyorsun.	Tom tiksinti içinde ayrıldı.
Disgusting	disgusting	Disgusting!	That was disgusting.	İğrenç.	O iğrençti.
Dish	dish	Do the dishes.	I rinsed the dishes.	Bulaşıkları yıka.	Bulaşıkları duruladım.
Dish	dish	Do the dishes.	I rinsed the dishes.	Bulaşıkları yıka.	Bulaşıkları duruladım.
Dishonest	dishonest	It's dishonest.	Tom isn't dishonest.	O sahtekar.	Tom sahtekar değil.
Dishonesty	dishonesty				
Dishwasher	dishwasher	I have a dishwasher.	I have a dishwasher.	Bir bulaşık makinem var.	Bir bulaşık makinem var.
Disinfectant	disinfectant				
Dismiss	dismiss	I was dismissed.	I've been dismissed.	İşten kovuldum.	İşten atıldım.
Disobedient	disobedient	I was disobedient.	Tom was disobedient.	Ben itaatsizdim.	Tom itaatsizdi.
Displeased	displeased	I'm displeased.	Tom was displeased.	Ben dargındım.	Tom dargındı.
Disrespectful	disrespectful				
Distillation	distillation				
Diver	diver	Tom is a cave diver.	Tom is a good diver.	Tom bir mağara dalgıcıdır.	Tom iyi bir dalgıç.
Diversity	diversity	Diversity is good.	Unity in diversity.	Çeşitlilik güzeldir.	Kesrette vahdet.
Divorce	divorce	Divorce her.	I just got divorced.	Boşan ondan	Az önce boşandım.
Divorce	divorce	Divorce her.	I just got divorced.	Boşan ondan	Az önce boşandım.
Divorced	divorce	Divorce her.	I just got divorced.	Boşan ondan	Az önce boşandım.
Do	do	Done.	What do you collect?	Yapıldı.	Ne topluyorsun?
Do	do	Done.	What do you collect?	Yapıldı.	Ne topluyorsun?
Dock	dock	Tom is on the dock.	Tom is on the dock.	Tom rıhtımda.	Tom rıhtımda.
Doctor	doctor	I'm a doctor.	Did the doctor come?	Ben bir doktorum.	Doktor geldi mi?
Doctor	doctor	I'm a doctor.	Did the doctor come?	Ben bir doktorum.	Doktor geldi mi?
Doctrine	doctrine				
Doe	doe				
Dog	dog	Good dog!	The dogs have fleas.	İyi köpek!	Köpeklerde pire var.
Doll	doll	It's a doll.	I made Mary a doll.	Bu bir oyuncak bebek.	Mary'ye bir bebek yaptım.
Dolphin	dolphin	Dolphins are weird.	Dolphins are weird.	Yunuslar garip.	Yunuslar garip.
Domestic	domestic				
Dominate	dominate				
Donkey	donkey	A donkey is gray.	Come here, donkey!	Bir eşek gridir.	Buraya gel, eşek!
Donut	donut	Have a donut.	I'm eating a donut.	Bir çörek ye.	Bir tatlı çörek yiyorum.
Doormat	doormat				
Doorway	doorway				
Doping	doping				
Dormitory	dormitory				
Double	double	Double the dose.	Tom's double-parked.	Dozunu ikiye katla.	Tom çift sıra park etti.
Doubt	doubt	No doubt.	I doubt she'll come.	Şüphesiz.	Geleceğinden şüpheleniyorum.
Doubt	doubt	No doubt.	I doubt she'll come.	Şüphesiz.	Geleceğinden şüpheleniyorum.
Dozen	dozen	Dozens were jailed.	I need a dozen eggs.	Onlarca insan hapsedildi.	Bir düzine yumurtaya ihtiyacım var.
Dragon	dragon	It's a dragon.	Tom slew the dragon.	O bir ejderha.	Tom ejderhayı öldürdü.
Dragonfly	dragonfly				
Drainboard	drainboard				
Drastic	drastic				
Draw	draw	Who drew it?	I'm poor at drawing.	Onu kim çizdi?	Ben çizimde kötüyüm.
Draw	draw	Who drew it?	I'm poor at drawing.	Onu kim çizdi?	Ben çizimde kötüyüm.
Drawer	drawer	Close the drawer.	I closed the drawer.	Çekmeceyi kapatın.	Çekmeceyi kapattım.
Drawing	drawing	The drawing is bad.	What's Tom drawing?	Çizim kötü.	Tom ne çiziyor?
Dreadful	dreadful	It was dreadful.	Tom looks dreadful.	Korkunçtu.	Tom harika görünüyor.
Dream	dream	Dream on!	Never stop dreaming!	Rüyanda görürsün!	Hayal kurmaktan asla vazgeçme!
Dress	dress	Nice dress.	I'm not dressed yet.	Güzel elbise.	Ben hâlâ giyinmedim.
Drill	drill	Is this a drill?	Tom knows the drill.	Bu bir matkap mı?	Tom ne yapılması gerektiğini bilir.
Drilling	drilling				
Drink	drink	Drink.	I love drinking tea.	İç.	Çay içmeyi severim.
Driver	driver	I'm your driver.	Is he a taxi driver?	Ben senin şoförünüm.	O bir taksi şoförü mü?
Driver	driver	I'm your driver.	Is he a taxi driver?	Ben senin şoförünüm.	O bir taksi şoförü mü?
Drizzle	drizzle				
Dromedary	dromedary				
Drop	drop	Drop it!	I dropped my pencil.	Kapat şu konuyu artık!	Kalemimi düşürdüm.
Drop	drop	Drop it!	I dropped my pencil.	Kapat şu konuyu artık!	Kalemimi düşürdüm.
Drought	drought	There's a drought.	The drought is over.	Kuraklık var.	Kuraklık bitti.
Drug	drug	I was drugged.	Fadil drugged Layla.	Uyuşturuldum.	Fadıl, Leyla'ya ilaç verdi.
Drugs	drug	I was drugged.	Fadil drugged Layla.	Uyuşturuldum.	Fadıl, Leyla'ya ilaç verdi.
Drum	drum	Tom drummed.	Tom heard the drums.	Tom davul çaldı.	Tom davulları duydu.
Drums	drum	Tom drummed.	Tom heard the drums.	Tom davul çaldı.	Tom davulları duydu.
Drunk	drunk	Drunk.	Tom is always drunk.	Sarhoş.	Tom hep sarhoştur.
Drunkard	drunkard	Tom is a drunkard.	Tom is a drunkard.	Tom bir ayyaş.	Tom bir ayyaş.
Duck	duck	Duck!	Baby ducks are cute.	Ördek!	Bebek ördekler sevimliler.
Duckling	duckle				
Dull	dull	The knife is dull.	This party is dull.	Bıçak kör.	Bu parti sıkıcı.
Dull	dull	The knife is dull.	This party is dull.	Bıçak kör.	Bu parti sıkıcı.
Dullness	dullness				
Dune	dune				
Dungeon	Dungeon				
During	during				
Dust	dust	Tom is dusting.	I dusted myself off.	Tom toz alıyor.	Ben toparlandım.
Duty	duty	Duty calls.	I'm on duty tonight.	Görev bekler.	Ben bu gece görevdeyim.
Duvet	duvet				
Dwarf	dwarf	Tom is a dwarf.	Tom is a dwarf.	Tom bir cüce.	Tom bir cüce.
Dye	Dye	Wool dyes nicely.	I don't dye my hair.	Yün güzel boyanır.	Saçımı boyamam.
Dyke	dyke				
Dynamite	dynamite				
Dynasty	dynasty				
Dysentery	dysentery				
ER	er	Er...	Tom is in the ER.	Im...	Tom acil serviste.
Each	each	We dig each other.	We loved each other.	Birbirimizden hoşlanıyoruz.	Birbirimizi sevdik.
Eagle	eagle	He's no eagle.	The eagle flew away.	O kartal değil.	Kartal uçtu.
Ear	ear	He has ears.	I'm deaf in one ear.	Sağır değil.	Bir kulağım sağır.
Eardrum	Eardrum				
Earlier	early	I'm early.	I got up very early.	Erkenciyim.	Çok erken kalktım.
Earphone	earphone				
Earrings	earring	I lost an earring.	She lost an earring.	Küpemi kaybettim.	Bir küpe kaybetti.
Earth	earth	Love the earth.	The earth is a tomb.	Dünyayı sev.	Dünya bir mezardır.
Earth-worm	earth	Love the earth.	The earth is a tomb.	Dünyayı sev.	Dünya bir mezardır.
Earthquake	earthquake				
Earthquake	earthquake				
Easily	easily	I cry easily.	I get scared easily.	Kolayca ağlıyorum.	Kolayca korkutulurum.
East	east	We're going east.	Free East Turkestan!	Doğuya gidiyoruz.	Özgür Doğu Türkistan!
Easter	Easter	Happy Easter!	Happy Easter!	Mutlu Paskalyalar.	İyi Paskalyalar!
Easy	easy	I'm easy.	This is much easier.	Ben kolayım.	Bu çok daha kolay.
Eat	eat	Eat!	Ziri ate watermelon.	Ye!	Ziri karpuz yedi.
Eatable	eatable				
Eclipse	eclipse				
Ecologist	Ecologist				
Ecologist	Ecologist				
Ecology	ecology				
Ecology	ecology				
Economic	economic				
Economist	economist	We're economists.	Tom is an economist.	Biz ekonomistiz.	Tom bir ekonomist.
Economy	economy	How is the economy?	The economy is good.	Ekonomi nasıl?	Ekonomi iyidir.
Ecosystem	ecosystem				
Ecuador	ecuador	I am from Ecuador.	I am from Ecuador.	Ekvatorluyum.	Ekvatorluyum.
Edge	edge	Everybody's on edge.	Have I lost my edge?	Herkesin sinirleri gergin.	Eski formumdan uzak mıyım?
Edible	edible	Is that edible?	Are these edible?	Yenilebilir mi?	Bunlar yenilebilir mi?
Editing	editing				
Edition	edition				
Education	education				
Eel	eel	Are those eels?	Are those eels?	Onlar yılan balığı mı?	Onlar yılan balığı mı?
Effective	effective	Tom is effective.	How effective is it?	Tom etkili.	Bu ne kadar etkili?
Effeminate	effeminate				
Efficiency	efficiency				
Efficient	efficient	I'm efficient.	Tom seems efficient.	Ben verimliyim.	Tom verimli görünüyor.
Efficiently	efficiently				
Effort	effort	Make an effort.	It's a group effort.	Çaba sarf et.	Bu bir grup çabasıdır.
Egalitarian	egalitarian				
Egg	egg	I want eggs.	I need a dozen eggs.	Yumurtalar istiyorum.	Bir düzine yumurtaya ihtiyacım var.
Eggplant	eggplant	I love eggplant.	I love eggplant.	Patlıcanı severim.	Patlıcanı seviyorum.
Eight	eight	He is eight.	Wake me up at eight.	O sekiz yaşında.	Beni sekizde uyandırın.
Eighteen	eighteen	I'm eighteen.	I was eighteen then.	Ben on sekiz yaşındayım.	O zaman on sekiz yaşındaydım.
Eighth	eighth				
Eighty	eighty				
Elbow	elbow	I hurt my elbow.	I have tennis elbow.	Dirseğimi incittim.	Bende tenisçi dirseği var.
Eldest	eldest				
Elections	election	I won the election.	He won the election.	Ben seçimi kazandım.	O, seçimi kazandı.
Electrician	electrician	I'm an electrician.	I am an electrician.	Elektrikçiyim.	Elektrikçiyim.
Electron	electron				
Electronics	electronic				
Elegance	elegance				
Elephant	elephant	I like elephants.	Where's my elephant?	Ben filleri severim.	Benim filim nerede?
Elevator	elevator	I hate elevators.	There's no elevator.	Ben asansörlerden nefret ediyorum.	Asansör yok.
Eleven	eleven	It's already eleven.	It's already eleven.	Saat şimdiden on birdir.	Saat on bir oldu bile.
Elite	Elite				
Elitist	Elitist	Tom is an elitist.	Don't be so elitist.	Tom bir seçkinci.	Çok seçkinci olma.
Elsewhere	elsewhere	Tom is elsewhere.	Tom is elsewhere.	Tom başka bir yerde.	Tom başka bir yerde.
Email/E-mail	email	You sent an email.	I encrypt my emails.	Bir e-posta gönderdin.	Ben e-postalarımı şifreliyorum.
Embargo	embargo				
Embarrassing	embarrassing	How embarrassing!	It was embarrassing.	Ne kadar utanç verici!	O can sıkıcıydı.
Embassy	embassy				
Embers	ember				
Emigration	emigration				
Emotion	emotion				
Emotional	emotional	I get emotional.	You're so emotional.	Ben duygusallaşıyorum.	Sen çok duygusalsın.
Emotional	emotional	I get emotional.	You're so emotional.	Ben duygusallaşıyorum.	Sen çok duygusalsın.
Emotional	emotional	I get emotional.	You're so emotional.	Ben duygusallaşıyorum.	Sen çok duygusalsın.
Empathy	empathy	Tom lacks empathy.	Tom has no empathy.	Tom empatiden yoksun.	Tom'un hiç empatisi yok.
Emperor	emperor				
Employee	employee	Tom is an employee.	Watch the employees.	Tom bir çalışan.	Çalışanları izleyin.
Employee	employee	Tom is an employee.	Watch the employees.	Tom bir çalışan.	Çalışanları izleyin.
Employer	employer				
Empty	empty	It's empty.	The fridge is empty.	O boş.	Dolap bomboş!
Encyclopedia	Encyclopedia				
End	end	Recess ended.	I'm at my wits' end.	Paydos sona erdi.	Şaşırdım.
Endless	endless	The list is endless.	The list is endless.	Liste sonsuzdur.	Liste sonsuzdur.
Enemy	enemy	He is my enemy.	He is not our enemy.	O benim düşmanım.	O bizim düşmanımız değil.
Energy	energy	Save your energy.	What is dark energy?	Enerjini koru.	Karanlık enerji nedir?
Energy	energy	Save your energy.	What is dark energy?	Enerjini koru.	Karanlık enerji nedir?
Energy	energy	Save your energy.	What is dark energy?	Enerjini koru.	Karanlık enerji nedir?
Engine	engine	Cut the engine.	Turn the engine off.	Motoru durdurun.	Motoru kapatın.
Engineer	engineer	I'm an engineer.	You're the engineer.	Ben bir mühendisim.	Mühendis sensin.
Engineering	engineering				
England	England	I'm from England.	I come from England.	İngiltereliyim.	İngiltereliyim.
English	english	I'm English.	I teach him English.	İngilizim.	Ona İngilizce öğretiyorum.
English	english	I'm English.	I teach him English.	İngilizim.	Ona İngilizce öğretiyorum.
Engrave	engrave				
Enigmatic	enigmatic				
Enjoyable	enjoyable	It was enjoyable.	Life is enjoyable.	O zevkliydi.	Yaşam tatlıdır.
Enlighten	Enlighten				
Enough	enough	Enough!	Enough of your lies!	Yeter!	Yalanların yeter!
Enough	enough	Enough!	Enough of your lies!	Yeter!	Yalanların yeter!
Enough	enough	Enough!	Enough of your lies!	Yeter!	Yalanların yeter!
Enrollment	enrollment				
Enthusiasm	enthusiasm				
Enthusiastic	enthusiastic	I'm enthusiastic.	Tom is enthusiastic.	Ben hevesliyim.	Tom heveslidir.
Entr'acte	Entr'acte				
Envelope	envelope	I need envelopes.	I need an envelope.	Benim zarflara ihtiyacım var.	Bir zarfa ihtiyacım var.
Envious	envious	Are you envious?	Mary is not envious.	Sen kıskanç mısın?	Mary kıskanç değil.
Environment	environment				
Epilepsy	Epilepsy	I have epilepsy.	I have epilepsy.	Epilepsim var.	Epilepsim var.
Episode	episode				
Equal	equal	All are equal.	Is everyone equal?	Hepsi eşit.	Herkes eşit midir?
Equality	equality	Equality is bad.	Equality is bad.	Eşitlik kötüdür.	Eşitlik kötüdür.
Equation	equation				
Equipment	equipment				
Equipment	equipment				
Equipment	equipment				
Equivalent	equivalent				
Erosion	erosion				
Escape	escape	Escape!	Tom let Mary escape.	Kaç!	Tom, Mary'nin kaçmasına izin verdi.
Escort	escort	I'll escort you.	I need an escort.	Size eşlik edeceğim.	Bir eskorta ihtiyacım var.
Especially	especially				
Essential	essential	That is essential.	That is essential.	O, esastır.	O, esastır.
Estimate	estimate				
Estimation	estimation				
Estuary	estuary				
Euphoric	euphoric				
Europe	Europe	You're in Europe!	I'm not from Europe.	Sen Avrupa'dasın!	Ben Avrupalı değilim.
Evacuate	Evacuate	We must evacuate.	They were evacuated.	Tahliye etmeliyiz.	Onlar tahliye edilmişti.
Evacuation	evacuation				
Evaluation	evaluation				
Evaporation	evaporation				
Evasion	evasion				
Eve	eve				
Even	even	We're even.	Tom isn't even here.	Ödeşmiş olduk.	Tom burada değil bile.
Evening	evening	Good evening.	Have a nice evening.	İyi akşamlar.	İyi akşamlar.
Event	event	I won the event.	I won the event.	Ben yarışmayı kazandım.	Ben yarışmayı kazandım.
Event	event	I won the event.	I won the event.	Ben yarışmayı kazandım.	Ben yarışmayı kazandım.
Everyone	everyone	Hi everyone.	Everyone had a bike.	Herkese selam.	Herkesin bisikleti vardı.
Everywhere	everywhere	It's everywhere.	Cat hair everywhere!	O her yerde.	Her yer kedi tüyü!
Eviction	eviction	Sami faced eviction.	Sami faced eviction.	Sami evden tahliyeyle karşı karşıya kaldı.	Sami evden tahliyeyle karşı karşıya kaldı.
Evidence	evidence	I have evidence.	What's the evidence?	Kanıtım var.	Kanıt nedir?
Evolution	evolution	Evolution is a lie.	Evolution is a lie.	Evrim bir yalandır.	Evrim bir yalandır.
Evolve	evolve				
Exacting	exacting				
Examine	examine	Examine it.	I won't examine you.	Onu inceleyin.	Sizi muayene etmeyeceğim.
Example	example	Give examples.	Examples are needed.	Örnekler verin.	Örnekler gereklidir.
Excellent	excellent	Excellent!	They look excellent.	Mükemmel!	Onlar mükemmel görünüyor.
Except	except				
Exception	exception	Make an exception.	Tom is no exception.	Bir istisna yapın.	Tom bir istisna değildir.
Exceptionally	exceptionally				
Exceptionnal	exceptionnal				
Excuse	excuse	Excuse me.	Excuse my ignorance.	Affedersiniz.	Cahilliğime ver.
Execution	execution				
Executioner	executioner				
Executive	executive				
Exemplary	Exemplary				
Exercise	exercise	Exercise.	Tom never exercises.	Egzersiz yap.	Tom asla egzersiz yapmaz.
Exhaust	exhaust	I'm exhausted.	They look exhausted.	Çok yoruldum.	Onlar yorgun görünüyorlar.
Exhausted	exhaust	I'm exhausted.	They look exhausted.	Çok yoruldum.	Onlar yorgun görünüyorlar.
Exhausted	exhaust	I'm exhausted.	They look exhausted.	Çok yoruldum.	Onlar yorgun görünüyorlar.
Exhausting	exhaust	I'm exhausted.	They look exhausted.	Çok yoruldum.	Onlar yorgun görünüyorlar.
Exhausting	exhaust	I'm exhausted.	They look exhausted.	Çok yoruldum.	Onlar yorgun görünüyorlar.
Exhaustion	exhaustion				
Exhibition	exhibition				
Exile	exile	I've been exiled.	Life is an exile.	Ben sürgün oldum.	Yaşam bir sürgündür.
Expatriot	Expatriot				
Expensive	expensive	Too expensive!	Living is expensive.	Çok pahalı!	Yaşamak pahalı.
Experience	experience	What an experience!	He lacks experience.	Ne tuhaf deneyim ama!	O deneyimden yoksundur.
Experience	experience	What an experience!	He lacks experience.	Ne tuhaf deneyim ama!	O deneyimden yoksundur.
Experienced	experience	What an experience!	He lacks experience.	Ne tuhaf deneyim ama!	O deneyimden yoksundur.
Expert	expert	I'm no expert.	They're the experts.	Ben uzman değilim.	Onlar uzman.
Explain	explain	I'll explain.	I'm just explaining.	Açıklayacağım.	Sadece açıklıyorum.
Exploitation	exploitation				
Explore	explore	Go explore that.	Go explore that.	Onu keşfetmeye git.	Onu keşfetmeye git.
Explorer	Explorer	Tom is an explorer.	Dora is an explorer.	Tom bir araştırmacıdır.	Dora bir kâşiftir.
Export	export				
Extension	extension				
Extinction	extinction				
Extortion	extortion	This is extortion.	This is extortion.	Bu bir şantaj.	Bu bir şantaj.
Extra	extra	That's extra.	Utilities are extra.	O ekstra.	Faturalar ekstraya girer.
Extra	extra	That's extra.	Utilities are extra.	O ekstra.	Faturalar ekstraya girer.
Extract	extract	This is an extract.	This is an extract.	Bu bir özüt.	Bu bir özüt.
Extract	extract	This is an extract.	This is an extract.	Bu bir özüt.	Bu bir özüt.
Extraordinary	extraordinary				
Extreme	extreme	This is extreme.	I'm in extreme pain.	Bu aşırı.	Aşırı acı çekiyorum.
Extremist	extremist	He's an extremist.	They are extremists.	O bir ekstremist.	Onlar aşırılık yanlısılar.
Extrovert	Extrovert	Tom is an extrovert.	Tom is an extrovert.	Tom dışa dönük bir kimse.	Tom dışa dönük bir kimse.
Eye	eye	I have eyes.	Her eye was swollen.	Gözlerim var.	Onun gözü şişmişti.
Eyebrows	eyebrow	I hate my eyebrows.	I hate my eyebrows.	Kaşlarımdan nefret ediyorum.	Kaşlarımdan nefret ediyorum.
Eyelashes	eyelash				
Eyelid	eyelid				
Fable	fable	It's a fable.	It's a fable.	Bu bir masal.	Bu bir masal.
Fable	fable	It's a fable.	It's a fable.	Bu bir masal.	Bu bir masal.
Face	face	Face facts!	Tom's face was pale.	Gerçeklerle yüzleş!	Tom'un yüzü solgundu.
Face-lift	face	Face facts!	Tom's face was pale.	Gerçeklerle yüzleş!	Tom'un yüzü solgundu.
Factor	factor				
Factory	factory	I work in a factory.	I work in a factory.	Ben bir fabrikada çalışıyorum.	Ben bir fabrikada çalışıyorum.
Factory	factory	I work in a factory.	I work in a factory.	Ben bir fabrikada çalışıyorum.	Ben bir fabrikada çalışıyorum.
Facultative	facultative				
Failure	failure	You're a failure.	Failure is possible.	Sen bir başarısızlıksın.	Başarısızlık olasıdır.
Failure	failure	You're a failure.	Failure is possible.	Sen bir başarısızlıksın.	Başarısızlık olasıdır.
Faint	faint	I fainted.	They were fainting.	Ben bayıldım.	Onlar bayılıyordu.
Fair	fair	Be fair.	Maybe it's not fair.	Adil ol.	Belki de bu adil değil.
Fair	fair	Be fair.	Maybe it's not fair.	Adil ol.	Belki de bu adil değil.
Fairly	fairly	I'm fairly busy.	It was fairly funny.	Oldukça meşgulüm.	O oldukça eğlenceliydi.
Faith	faith	Have faith.	I have faith in you.	İnançlı ol.	Sana güveniyorum.
Faithful	faithful	I'm faithful.	Dogs are faithful.	Ben sadığım.	Köpekler sadıktır.
Falcon	Falcon				
Fall	fall	I fell.	Tom fell head-first.	Ben düştüm.	Tom tepetaklak düştü.
Family	family	Tom is family.	I want a big family.	Tom akrabadır.	Büyük bir aile istiyorum.
Famine	famine	There's a famine.	There's a famine.	Bir kıtlık var.	Bir kıtlık var.
